,Year,Primary_Enrollment,GDP
0,2001,9751434.0,32685198735.3053
1,2002,9336913.0,35064105500.8344
2,2003,8841004.0,39552513316.0734
3,2004,8350191.0,45427854693.2554
4,2005,7773484.0,57633255618.2731
5,2006,7317813.0,66371664817.0436
6,2007,7041312.0,77414425532.2452
7,2008,6871795.0,99130304099.1274
8,2009,6745016.0,106014659770.222
9,2010,6922624.0,147198853578.923
10,2011,7048493.0,172595960457.831
11,2012,7100950.0,195592471672.748
12,2013,7202767.0,213710932339.105
13,2014,7434848.0,233449971628.523
14,2015,7543632.0,239257234710.757
15,2016,7790009.0,257095955975.529
16,2017,7801560.0,281353402175.236
17,2018,8041842.0,308702086757.617
18,2019,8506562.0,330391329475.734
19,2020,8718356.0,343242570827.351
